Time,Bus 1001,Bus 1002,Bus 1003,Bus 1004,Bus 1005,Bus 1006,Bus 1007,Bus 1008,Bus 1009,Bus 1010,Bus 1011,Bus 1012,Bus 1013,Bus 1014,Bus 1015,Bus 1016,Bus 1017
2017-01-01 01:00:00.000,0.0,0.0,7.246513289988953,2.516356254505823,2.494882574688667,2.906796798160045,2.31712597369354,8.300243770953683,10.0813530450105,3.1349838777610284,1.7587029587945984,1.7730422051784989,0.8371146825039302,0.2670888834828803,0.27025396521772754,1.6543159392074893,0.886575238773699
2017-01-01 02:00:00.000,0.0,0.0,6.561886288583638,3.2692910770538264,3.020734897534168,2.055329858820046,1.3991675143548694,6.664899502989852,7.3391511903169295,3.626068319183477,1.0372153831949722,1.1581952012828627,1.4110999133709368,0.12816971794283608,0.30530856098156206,0.7048160888250194,0.7788104314965573
2017-01-01 03:00:00.005,0.0,0.0,5.551585296252543,3.2909611943390153,1.8164256616359966,1.68992125325711,1.933314781283521,7.385167326282907,4.044051967960659,3.643064624218156,1.5510852711805947,0.8645720395477648,0.7345729664068046,0.14808322060977366,0.3623558441093758,0.963074509004818,1.3374681878639891
2017-01-01 04:00:00.010,0.0,0.0,8.042499520885448,3.8577088141091678,2.487941295809128,1.896605336704623,1.7032064143912509,8.043681340117821,5.112430101890452,2.829356470759661,1.4473592791410401,0.7069684658522829,0.8379492146687145,0.17906359475743122,0.4451739652242978,0.49843796629302833,3.19877555302763
2017-01-01 05:00:00.015,0.0,0.0,9.418535200966867,2.7213535057982954,2.398589988075159,2.865168982179007,1.7650993056104958,7.3876173812895995,6.133555527418511,3.386052732838952,1.6550293200922326,0.3961942261789823,0.7115038105583047,0.14045323410110788,0.39935744135842816,0.5428555894558957,1.61370323456629
2017-01-01 06:00:00.020,0.0,0.0,7.971442885471574,2.5845773421671296,2.8319217652439206,1.7646918595437482,1.6101014696911553,5.875051172755816,5.642715816464511,3.476823589846632,2.035292449453083,0.944482056971705,0.6332918233915418,0.20997141134434139,0.29130609337893926,1.037652798119041,1.6210251940167892
2017-01-01 07:00:00.025,0.0,0.0,8.681192961913675,5.000987732471815,1.7791846577910846,2.6203031896018927,1.3206585285642722,5.274536836146283,5.235525604710602,2.245827295615216,1.9398548387712677,0.5362620723956394,0.7432578037746459,0.16833248887796276,0.3109815550355399,0.5034535431849724,0.7058777168204787
2017-01-01 08:00:00.030,0.0,0.0,7.977239038346236,4.6610249070511145,2.7234282880223466,1.820357772947244,1.6139458112273726,3.4167833617198577,3.9717455818553757,3.3716868668057067,4.425840785331396,1.0044998359117785,0.9948071623091277,0.4542308779503265,0.6008989851569341,0.7434680885257051,1.2341616726783073
2017-01-01 09:00:00.035,0.0,0.0,6.259153275308292,5.158953923443216,1.7905333320216308,1.9474034624116787,2.0373874263243716,3.3501219709302865,5.227845451299231,3.2522676581082033,3.1498738966583826,1.3461085915987347,0.7456591983473974,0.2473233355520736,0.5604738683810184,1.1439835235115776,1.1641203934711029
2017-01-01 10:00:00.040,0.0,0.0,8.296832275041819,6.2089799692174035,2.3589382817636175,1.9819710175888106,2.7860780751452854,2.836505845471793,3.6471753985010213,3.540670955900706,1.6706745082517602,2.0910556965796774,2.3610590600428765,0.2951574154294498,0.37176948357082706,3.314779069146274,1.2831250508475034
