Time,Bus 1003,Bus 1004,Bus 1005,Bus 1006,Bus 1007,Bus 1008,Bus 1009,Bus 1010,Bus 1011,Bus 1012,Bus 1013,Bus 1014,Bus 1015,Bus 1016,Bus 1017
2017-01-01 01:00:00.000,5.910190922470225,3.5055950160519167,2.768957937027093,1.7000521973889293,1.6634952714353566,5.993300691600149,6.287628409988751,2.965692778779231,1.3432320448811832,1.2604445531487214,0.6251228213058738,0.1634962314102175,0.3219484144923033,1.5363885952464742,1.1404898112028707
2017-01-01 02:00:00.000,5.456819754768324,3.3406457526181583,2.0254104896896026,1.6801654193845104,1.8142372514069973,5.865312246095852,5.6727993015857825,2.3792185083938975,1.631731774684916,0.8903325020535945,1.0484721659901273,0.12114675212412399,0.4875949918606058,0.783120200702249,0.9247581164337071
2017-01-01 03:00:00.005,7.5082172605688,3.781052999842038,2.700799260645955,2.4297707814581675,1.3800275261442805,9.109535487082269,3.5197294441034925,3.0001049186329856,1.5539538295877324,0.8406452424115733,0.9499567443940432,0.18652594658572594,0.47537594030324654,0.8240129489592231,1.2551122453499752
2017-01-01 04:00:00.010,9.74121717491967,2.508120492069973,2.7151201523183355,2.768131649774004,1.424116109238717,8.841085906306454,3.8475768336503657,2.7962016610299747,1.3096425113028731,0.6302911409454574,0.8614690675974396,0.18358626225567842,0.41640449506468485,0.5474650555183519,3.104340582800853
2017-01-01 05:00:00.015,9.180752068763091,3.386965065624099,1.6596962223903113,1.9853892493502308,1.7267966241746808,6.414056381165691,6.096368953217101,2.4878006624688016,1.1768749954423534,0.7161035227058922,0.7760026347509035,0.24273736493688536,0.3809874910441185,0.44939045746642436,2.5303923379067643
2017-01-01 06:00:00.020,7.005804045122364,2.8194356383196677,1.988803814173343,2.353564246679995,1.1388778439166487,5.700750391208444,4.245871628034508,3.529325055660507,1.5935375543015327,0.598983883835937,0.6832570128731946,0.19171351136615883,0.3085855270460114,0.8697089100030253,2.1143500086455633
2017-01-01 07:00:00.025,7.695694245150457,4.700344839973643,2.47967097316767,2.23102130058316,1.2135825256268247,4.611014918345254,3.580035111200891,2.864030080857067,2.396754491159805,0.37854392017985716,0.7415171806535935,0.1766630364564939,0.2997321248833415,0.42503474074124276,1.078299530735911
2017-01-01 08:00:00.030,7.448026430501265,4.921864544059943,2.0743766046496437,1.4266155737327022,2.1035859698568857,3.3596515163046465,4.190695969973333,3.5971482898464493,3.3743385878091288,0.684691275585961,0.739171818497343,0.46415368117802,0.5295217137765507,0.63602710474678,1.1165487523424953
2017-01-01 09:00:00.035,7.5620360467980285,3.9691294047048875,1.5034698374641653,1.7070649663548811,1.562292489018637,3.438284192795603,3.6562865513674634,2.3805720490532676,2.7046276513572454,1.5789432115235875,0.6021895588682328,0.18531890094728876,0.6117102138925556,1.1815033546445468,1.2623285700456806
2017-01-01 10:00:00.040,6.551797166485866,8.301724939207803,2.0983547241977636,2.2426339035324037,3.5482477390902343,5.198614282461638,6.001009662167855,3.7147111195708775,1.7338124202122496,3.2693388141768778,2.0828756340838623,0.20448829434799135,0.5349404078853833,3.152144992538585,1.0582348836102762
2017-01-01 11:00:00.045,5.629622419393237,7.982007430006412,3.3485783424013342,2.0206717912359613,2.915558643962024,4.006670334410286,4.40616248731975,3.009327861516129,2.223501596580969,2.293635704540729,4.852456058314829,0.47012155783330134,0.36136390869654894,2.634788208319154,1.2312215658421013
2017-01-01 12:00:00.050,8.544625058027538,5.018284011354067,1.652427216669003,4.53504316984397,3.1492115889206986,3.9652422643290803,4.5076900321388855,2.6111994247861183,1.6196042433059898,4.332018881118926,5.0345480285528055,0.42449473854652414,0.7817171979368209,3.285849386129473,2.3507556631382656
2017-01-01 13:00:00.055,8.60627503166836,4.695169122834077,1.564167815789222,6.666325926477982,1.9381882648728783,4.004878688354887,2.9493937774929786,2.7381559340996597,1.406121748320641,3.0093513314024474,2.9073084248015713,0.2016254951789691,2.2276816646784137,3.1304203586217416,3.060683953254978
2017-01-01 14:00:00.060,8.678447010881339,4.688258201411748,2.3790992998231517,6.848016075229052,3.7647511623148655,3.921878178600235,3.80518261662859,4.542811188624053,1.5108997076832111,3.980447493796408,2.3569058020991736,0.5243273204240636,0.6801195618011859,2.9677272433498603,1.287422714566535
2017-01-01 15:00:00.065,9.1701784187679,3.6202898401062282,2.601422521583165,1.3065053230226464,5.146802440799574,3.9203836128109764,3.8986785395241355,3.5744144548016186,2.09529428305731,2.3237652387259637,3.6644186651756225,0.7390307045776036,0.34805888090975623,2.9395495339448927,1.7129776994254882
