Hora,P_kW,Q_kvar,Vmin_pu,Vmax_pu
0,1116.9016903941686,197.59806077191752,0.9954189077975312,1.0210707212065608
1,1114.9271233432157,196.77073282919324,0.9954278437679618,1.0210859268851635
2,1113.926575037267,196.33765730537345,0.9954330928124385,1.0210910649034692
3,1114.3398335213656,196.436578985781,0.9954309885096104,1.0210934001135965
4,1113.862717065337,196.28052314765503,0.9954338346123199,1.0210944404420395
5,1112.7522039454334,195.72396998307383,0.9954389566176465,1.0211018620544843
6,1111.8662927471653,195.36184453062475,0.9954428410529979,1.0211048372278084
7,1112.481725172887,195.58841186036366,0.9954360356563376,1.021103306155418
8,1112.8343213291844,195.8511902228994,0.9954391711417049,1.0210993758213172
9,1115.3419415207482,197.00681852587934,0.9954314265683439,1.0210745975458402
10,1116.358028980848,197.4158245608276,0.995428630077124,1.0210628063382685
11,1117.0731675071852,197.58727856380446,0.9954290651053184,1.021061996911996
12,1116.4240222948133,197.20803626778593,0.9954363059031025,1.0210621892539518
13,1118.1618930268621,198.22479844251333,0.9954282136148601,1.0210366273341442
14,1115.790635565885,197.19032436079385,0.9954352706402225,1.0210630519995527
15,1115.8441604310767,197.18712950667512,0.9954318353318756,1.021068686645661
16,1115.7133587549263,197.11084326841382,0.9954364701288921,1.0210701215246705
17,1115.1304013632368,196.7302180807306,0.9954333747933667,1.0210783302623032
18,1115.013084906468,196.76088894773105,0.9954385474890944,1.021074648368865
19,1114.4592977375978,196.42803881854164,0.995436735591635,1.0210799584545318
20,1113.8052999027718,196.13492243395538,0.9954378797824632,1.021083939044181
21,1113.5095859571816,196.08216197055012,0.9954419308229123,1.0210812194733612
22,1114.6280819052947,196.66590603306128,0.9954318660336002,1.0210770932970528
23,1114.2473816541553,196.5620247266136,0.9954354214826057,1.021074614124099
24,1113.6725534429454,196.30579847793362,0.99543616161143,1.0210860818753997
25,1113.1014562543157,195.9786718968952,0.9954375808216389,1.0210963285191377
26,1113.0041250570625,195.95879826546394,0.9954366128652227,1.0210977935395777
27,1111.2684460580112,195.17026017600594,0.9954468748333795,1.0211084151017216
28,1109.836466318611,194.51424014311266,0.9954563033530629,1.0211173270998857
29,1109.9281983521842,194.55857473963584,0.9954568463083028,1.0211173331533874
30,1111.8175937197682,195.48605074909852,0.9954463747561689,1.0210974556090002
31,1114.338630640073,196.58574647360766,0.9954349727528292,1.0210738468871647
32,1115.0353232318305,196.8081227786746,0.9954318723082904,1.0210623779841455
33,1118.8229316076608,198.38439424328587,0.9954194709975316,1.0210290319374664
34,1122.1211202072648,199.85187431881576,0.9954085431813302,1.0210010958804134
35,1124.2623124440636,200.63774396121468,0.9954029425425911,1.0209954433848063
36,1124.3794578857417,200.40131343183265,0.9953934605599095,1.0210072798606475
37,1121.8945971728565,199.5338979403017,0.9954079493662196,1.0210249914499108
38,1119.623569118551,198.8372424824231,0.995415253951992,1.0210332620447624
39,1119.3799024818632,198.5688132765029,0.9954148930309809,1.0210431199521992
40,1114.587631141894,196.45007857188682,0.9954333818008909,1.0210824154540774
41,1116.3343726163375,197.06914284085795,0.9954269942183301,1.0210711269170498
42,1117.9022826964235,197.7898745778439,0.9954274348750372,1.0210603591466354
43,1116.0339931108915,197.08321188423835,0.9954318892598789,1.0210618907967484
44,1115.421485343596,196.75142826544686,0.9954292782797285,1.0210746000727164
45,1114.2931853509267,196.2964619628652,0.9954379721891881,1.0210835215039877
46,1112.858348297282,195.66445463583597,0.9954439470445208,1.0210963640086732
47,1111.9990322019416,195.27529012083775,0.9954425858849248,1.0211028035503242
48,1111.1164137175037,194.90950280325148,0.9954503376201994,1.02111062864151
49,1111.4068451587455,195.084696494893,0.9954486322064502,1.0211058736354481
50,1111.0552371327285,194.9284218264344,0.9954515619226123,1.0211084236909937
51,1112.7744287649998,195.742664676614,0.995439261528514,1.0210976057885177
52,1112.4603689217142,195.64282353543769,0.995442666975271,1.0210985471929763
53,1113.818121438212,196.16481304730067,0.9954332681852224,1.021091514080499
54,1115.3942875178932,196.90390352122236,0.9954253623855843,1.0210762026399098
55,1120.9954390209368,199.06846364406508,0.9953943452118265,1.0210425378072814
56,1127.4320174094812,201.57932878106564,0.9953611438510842,1.0210019245898094
57,1131.5894691103692,202.79119239296887,0.9953398058058568,1.0209764383084352
58,1133.272355144353,203.61084922447208,0.9953395139955052,1.0209685814689424
59,1133.3026581158117,203.61562595895256,0.995341474210869,1.0209716153799386
60,1133.6714878446685,203.77768277089984,0.9953383385743122,1.0209679950068398
61,1136.2649167615104,204.6719664207043,0.9953217429679331,1.0209518037745449
62,1133.4772082854035,203.54579451573034,0.9953367250676932,1.0209643271968967
63,1133.558972175697,203.59528068359873,0.9953413085080823,1.0209630581761275
64,1131.6166174596372,202.9366658677028,0.9953436055072097,1.0209733072473481
65,1125.9904747988683,200.58396297799297,0.9953773799290734,1.0210159306269329
66,1121.1367266223624,199.09723940274398,0.995405878459419,1.021043928265383
67,1118.9555516473167,198.20409353074308,0.995411816320731,1.021054713794012
68,1117.8840435255545,197.6281060557501,0.995419147989124,1.021060265911498
69,1119.3038934128406,198.25678543048645,0.9954106227739693,1.0210531332561745
70,1119.313336800707,198.37526060731426,0.9954067860348752,1.0210555486488513
71,1117.3654414838,197.5653890202356,0.9954128001337137,1.0210692497842468
72,1116.888695932802,197.37570540503586,0.9954149170192005,1.0210739597826377
73,1116.9473506147408,197.40895845082227,0.9954160547621631,1.021072102719162
74,1117.6883112012345,197.72919424126786,0.9954122419605044,1.0210675960277775
75,1116.4981102685022,197.26310325416705,0.9954192578319631,1.0210750882763469
76,1117.4789298039857,197.63724672878567,0.995412399710455,1.0210717433671066
77,1117.6910953664808,197.7920539915915,0.9954131871268773,1.0210655389294105
78,1120.0666865909848,198.82668815788284,0.9954044689226517,1.0210489160067846
79,1126.0016140018888,201.1932097959037,0.9953726173589648,1.0209991013585642
80,1128.5172652424899,202.08753927882418,0.9953553850111209,1.0209874028961525
81,1133.5751913006302,203.89396471973254,0.995328138523488,1.0209639613570078
82,1137.3870947498278,205.47658296689337,0.9953096086185015,1.0209426065763607
83,1137.641984234849,205.59095260629383,0.9953075041333372,1.020937047182639
84,1138.0672460975009,205.7462254325897,0.9953099105148059,1.0209336676389937
85,1135.8351654970102,204.66325943507255,0.9953218977851451,1.0209571948952758
86,1135.439237664596,204.3487568554478,0.9953189467496286,1.0209664707905257
87,1135.8701122445705,204.57779027661476,0.995328094380925,1.0209537520347338
88,1134.3939993880474,204.00709029614046,0.9953253198940563,1.0209711754213973
89,1132.805907904745,203.61450284546456,0.9953351114253234,1.0209685686320762
90,1128.559103336191,202.2548219920465,0.9953621918872434,1.0209802807916242
91,1127.5156608909613,201.90980433855725,0.9953687122510568,1.020991320136395
92,1122.64490127576,199.84234582512238,0.9953966118395932,1.0210205078997951
93,1118.1835950170127,197.9186675684529,0.9954152127081681,1.021053968323792
94,1115.137169917901,196.62044712528075,0.9954305062940448,1.0210816071687303
95,1114.097827759395,196.13682274341292,0.9954355660208408,1.0210882900629596
96,1113.8488074293607,196.02027382692427,0.9954352792282191,1.0210916961807652
97,1113.8299342366292,196.04906821121943,0.9954368713209355,1.0210912241265264
98,1115.4655540118113,196.8152576294024,0.9954267274945513,1.0210801401355107
99,1115.525144718083,196.86887246555096,0.9954249824032859,1.0210812812806804
100,1115.0425204714702,196.64308239087245,0.9954293317655128,1.0210847478160046
101,1116.46461314217,197.26152759308246,0.995418429261364,1.0210758855457518
102,1119.9168450659365,198.70547550326526,0.9954026960257595,1.021052805099422
103,1124.0876208036298,200.24767856969282,0.9953810084173005,1.0210189275192911
104,1132.7920279409998,203.6731982722695,0.9953303665740937,1.0209714346047891
105,1137.4185307557125,205.3359968380715,0.9953166694701064,1.0209390420072448
106,1139.561618841354,206.17529041574483,0.9953103614206682,1.0209211514067509
107,1152.1627198216518,211.32578051247887,0.9952443063071224,1.0208380803695085
108,1148.964604457708,209.9736741804175,0.9952577137919146,1.020859250058265
109,1147.1948010444278,209.17984059825523,0.9952650137507124,1.02087554310281
110,1146.5269431100817,208.84703982605785,0.9952690601798063,1.0208783987198786
111,1146.9448122878596,209.01470256168628,0.9952662351072015,1.0208801656369761
112,1147.170595934319,209.34854442092293,0.9952613072329738,1.0208710560595353
113,1143.8636074905876,208.30294049914187,0.9952831627598391,1.0208792458817704
114,1139.621054292958,206.99099847344118,0.9953075319039921,1.0209049359023232
115,1137.9251743571767,206.3045930554395,0.9953213203206703,1.0209161952004207
116,1132.29999792443,203.847079706064,0.995342470770166,1.0209575176442334
117,1129.95524391721,202.9071801926113,0.995354817563987,1.0209701570874494
118,1127.6643434773482,201.87327751774492,0.9953682404188315,1.0209936383002582
119,1119.4942466883344,198.62596455898515,0.9954038464129057,1.0210486902121942
120,1116.8379439754858,197.51618141696113,0.99541574452924,1.0210696568003268
121,1115.9493690076706,197.12736134031712,0.9954213106658234,1.021076276749633
122,1115.835228588282,196.9972298094497,0.9954206927528744,1.0210794965312513
123,1115.5920672397503,196.9220142267663,0.9954231079740882,1.0210808319583013
124,1115.4248681662573,196.84708614201028,0.9954226932440664,1.021082643137828
125,1117.5166722596716,197.71285388678876,0.9954157782747832,1.0210691499299624
126,1119.3006708230605,198.44117709397386,0.9954053174688777,1.0210572820808343
127,1122.7547981388284,199.77438916996897,0.9953886512694959,1.0210257969394594
128,1123.2938951241536,199.79153336743627,0.9953889979243689,1.021022076056657
129,1129.5939675901718,202.16256900779882,0.995345231557086,1.0209922581512223
130,1130.7733548539386,202.68636305352055,0.9953453429135278,1.0209825753578465
131,1137.1108861102634,205.124937157126,0.9953136134721601,1.0209419977983856
132,1132.040002996344,202.9459195012463,0.9953399521856433,1.0209729301847341
133,1133.0631643912004,203.44268188781103,0.9953408847718221,1.0209624321781794
134,1134.2988185259803,203.95050035274534,0.9953285935401776,1.0209571775949264
135,1130.6664120263465,202.2710876532408,0.9953537134568177,1.0209907774564708
136,1131.237731155598,202.69068881548014,0.9953459689066219,1.0209812327484555
137,1128.9931817774905,201.96081757085503,0.9953595574741025,1.0209969788640527
138,1124.9220494130905,200.65549919228843,0.9953792549372442,1.0210224470985894
139,1125.2142231922396,200.81576461155873,0.9953880140707888,1.0210125129923069
140,1121.54493387556,199.15130576555248,0.9953972122290755,1.0210439608191932
141,1120.2303758703001,198.70131559631747,0.9954103666865607,1.0210511238261473
142,1125.159068151413,200.34912963861441,0.9953783572230855,1.0210309271021927
143,1112.9673877566238,195.70665256033146,0.9954430233529763,1.0210971587789832
144,1110.732275102711,194.77481823715328,0.9954534121277706,1.021110564231697
145,1109.5549241615488,194.29687296891387,0.9954593613463874,1.0211184681845251
146,1109.769514960027,194.31555234622454,0.995458536075174,1.0211173552863666
147,1111.5392202520316,195.1029284524585,0.9954481080798114,1.0211071700113288
148,1114.2338905720896,196.311791654067,0.9954336692359876,1.021089554857483
149,1114.6023775443664,196.50160834961636,0.9954343430131396,1.021084481456734
150,1115.7611885116632,196.97852882702284,0.9954248854789144,1.021078387177383
151,1119.0097668385142,198.46106851188395,0.9954087122704055,1.021048863799139
152,1118.5588015750404,198.1789102675651,0.9954059243770521,1.0210553280755033
153,1123.7049925201636,199.8311482327087,0.99538746093646,1.0210304397352152
154,1126.060981045801,200.6437730687741,0.9953783385116157,1.0210108456860891
155,1126.2432511830061,200.76444977904194,0.9953835756526538,1.0210077576180316
156,1123.077888646135,199.6497114283657,0.9954021484176321,1.0210163250295963
157,1119.8368835291697,198.5672679454686,0.9954183753608749,1.021028249976572
158,1123.433357808771,199.70315289416706,0.9954000652805531,1.0210158129381557
159,1121.5976071155644,198.76514054914978,0.9954043322581195,1.021046366761428
160,1124.9914110039658,200.2429485263296,0.9953838762197253,1.0210305277239828
161,1127.2946734513348,201.21410023971762,0.9953769426041916,1.0210102459410901
162,1130.729240087917,202.73350708204032,0.9953532406196391,1.0209925376352627
163,1131.3873915868676,203.22659006420906,0.9953557496259821,1.020977946322479
