Load,Fases
3002,3
3004,3
3006,3
3007,3
3009,2
3010,2
3011,2
3012,2
3013,2
3014,2
3016,2
3017,2
3018,2
3019,2
3020,2
3021,2
3023,2
3024,2
3025,2
3026,2
3027,2
3028,2
3029,2
3031,3
3032,3
3033,3
3034,3
3035,3
3036,3
3037,3
3038,3
3039,3
3041,2
3042,2
3043,2
3044,2
3045,2
3047,3
3048,3
3049,3
3050,3
3051,3
3052,3
3054,3
3056,2
3057,2
3058,2
3059,2
3060,2
3061,2
3062,2
3063,2
3064,2
3065,2
3066,2
3067,2
3070,3
3071,3
3072,3
3073,3
3074,3
3077,3
3078,3
3081,3
3083,2
3084,2
3085,2
3086,2
3087,2
3088,2
3089,2
3090,2
3091,2
3093,2
3094,2
3095,2
3096,2
3097,2
3098,2
3099,2
3101,2
3102,2
3103,2
3104,2
3105,2
3106,2
3108,2
3109,2
3110,2
3111,2
3112,2
3114,2
3115,2
3116,2
3117,2
3120,2
3121,2
3122,2
3123,2
3124,2
3125,2
3126,2
3127,2
3128,2
3129,2
3130,2
3131,2
3132,2
3134,2
3135,2
3136,2
3137,2
3138,2
3139,2
3141,2
3142,2
3143,2
3144,2
3145,2
3146,2
3147,2
3148,2
3149,2
3150,2
3151,2
3152,2
3153,2
3154,2
3155,2
3157,2
3158,2
3159,2
3160,2
3161,2
3162,2
