Load,Fases
2002,3
2003,3
2005,3
2008,2
2009,2
2010,3
2011,3
2014,2
2015,2
2016,2
2017,2
2018,2
2020,2
2022,2
2023,2
2024,2
2025,2
2028,2
2029,3
2030,3
2031,2
2032,3
2034,3
2035,3
2037,3
2040,3
2041,3
2042,3
2043,3
2045,2
2046,2
2047,2
2048,2
2049,2
2050,2
2051,2
2052,3
2053,3
2054,2
2055,2
2056,2
2058,3
2059,2
2060,2
